[10-Feb-2026 23:30:35 Africa/Cairo] PHP Fatal error:  Uncaught Error: Call to undefined function mb_internal_encoding() in C:\Users\DELL\Desktop\phpdesktop-chrome-57.0-rc-php-7.1.3\www\index.php:17
Stack trace:
#0 {main}
[11-Feb-2026 23:52:43 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:52:48 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:52:53 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:52:54 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:59:02 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:59:03 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:59:03 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:59:03 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:59:03 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:59:05 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:59:29 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[11-Feb-2026 23:59:30 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[12-Feb-2026 00:02:41 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[12-Feb-2026 00:02:42 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[12-Feb-2026 00:02:42 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[12-Feb-2026 00:02:42 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
[12-Feb-2026 00:02:44 Africa/Cairo] Migration error in 002_add_multi_unit_support.sql: SQLSTATE[HY000]: General error: 1 duplicate column name: pack_type
